line       microns   wavenum  g(J) Eupper   aval         vu  jl   trans
 name        (um)    (cm-1)	-     K   10e-7s       -   -     OQS
0-0_S(0)   28.221     354.35    5     510   0.0003     0   0       S
0-0_S(1)   17.035     587.04   21    1015   0.0048     0   1       S
0-0_S(2)   12.279     814.43    9    1682   0.0276     0   2       S
0-0_S(3)    9.6649   1034.67   33    2504   0.0984     0   3       S
0-0_S(4)    8.0258   1245.98   13    3474   0.264      0   4       S
0-0_S(5)    6.9091   1447.36   45    4586   0.588      0   5       S
0-0_S(6)    6.1088   1636.97   17    5829   1.14       0   6       S
0-0_S(7)    5.5115   1814.40   57    7197   2.00       0   7       S
0-0_S(8)    5.0529   1979.08   21    8677   3.24       0   8       S
0-0_S(9)    4.6947   2139.06   69   10263   4.90       0   9       S
0-0_S(10)   4.4096   2267.80   25   11940   7.03       0   10      S
0-0_S(11)   4.1810   2391.79   81   13703   9.64       0   11      S
0-0_S(12)   3.9947   2503.3    29   15549  12.7        0   12      S
0-0_S(13)   3.8464   2599.8    93   17458  16.2        0   13      S
0-0_S(14)   3.724    2685.     33   19402  20.0        0   14      S
0-0_S(15)   3.625    2759.    105   21400  24.1        0   15      S
0-0_S(16)   3.547    2819      37   23459  28.3        0   16      S
0-0_S(17)   3.485    2870.    117   25539  32.6        0   17      S
0-0_S(18)   3.438    2908.     41   27643  36.8        0   18      S
0-0_S(19)   3.404    2938     129   29765  41.0        0   19      S
0-0_S(20)   3.380    2959      45   31895  45.1        0   20      S
0-0_S(21)   3.369    2968     141   34036  49.         0   21      S
0-0_S(22)   3.366    2971      49   36173  53          0   22      S
0-0_S(23)   3.372    2966     153   37728  57          0   23      S
1-0_S(0)    2.2235   4497.41    5    6471   2.53       1   0       S
1-0_S(1)    2.1218   4712.91   21    6956   3.47       1   1       S
1-0_S(2)    2.0338   4917.01    9    7584   3.98       1   2       S
1-0_S(3)    1.9576   5108.40   33    8365   4.21       1   3       S
1-0_S(4)    1.8920   5282.52   13    9286   4.19       1   4       S
1-0_S(5)    1.8358   5447.25   45   10341   3.96       1   5       S
1-0_S(6)    1.7880   5592.9    17   11522   3.54       1   6       S
1-0_S(7)    1.7480   5720.8    57   12817   2.98       1   7       S
1-0_S(8)    1.7147   5831.9    21   14221   2.34       1   8       S
1-0_S(9)    1.6877   5925.1    69   15722   1.68       1   9       S
1-0_S(10)   1.6665   6000.0    25   17311   1.05       1   10      S
1-0_S(11)   1.6504   6059.0    81   18979   0.53       1   11      S
1-0_Q(1)    2.4066   4155.25    9   6149    4.29       1   1       Q
1-0_Q(2)    2.4134   4143.47    5   6471    3.03       1   2       Q
1-0_Q(3)    2.4237   4125.87   21   6956    2.78       1   3       Q
1-0_Q(4)    2.4375   4102.57    9   7586    2.65       1   4       Q
1-0_Q(5)    2.4548   4073.72   33   8365    2.55       1   5       Q
1-0_Q(6)    2.4756   4039.5    13   9286    2.45       1   6       Q
1-0_Q(7)    2.5001   3999.9    45  10341    2.34       1   7       Q
1-0_O(2)    2.6269   3806.79    1   5987    8.54       1   2       O
1-0_O(3)    2.8025   3568.21    9   6149    4.23       1   3       O
1-0_O(4)    3.0039   3329.03    5   6471    2.90       1   4       O
1-0_O(5)    3.2350   3091.19   21   6956    2.09       1   5       O
1-0_O(6)    3.5007   2856.55    9   7485    1.50       1   6       O
1-0_O(7)    3.8075   2626.37   33   8365    1.06       1   7       O
1-0_O(8)    4.1625   2402.4    13   9286    0.74       1   8       O
2-1_S(0)    2.3556   4245.15    5  12095    3.68       2   0       S
2-1_S(1)    2.2477   4448.95   21  12550    4.98       2   1       S
2-1_S(2)    2.1542   4642.04    9  13150    5.60       2   2       S
2-1_S(3)    2.0735   4822.82   33  13890    5.77       2   3       S
2-1_S(4)    2.0041   4989.84   13  14764    5.57       2   4       S
2-1_S(5)    1.9449   5143.73   45  15763    5.05       2   5       S
2-1_O(2)    2.7862   3589.11    1  11635   12.9        2   2       O
2-1_O(3)    2.9741   3362.40    9  11789    6.40       2   3       O
2-1_O(4)    3.1899   3134.93    5  12095    4.41       2   4       O
2-1_O(5)    3.4379   2908.75   21  12550    3.18       2   5       O
2-1_O(6)    3.7236   2685.6     9  13150    2.28       2   6       O
2-1_O(7)    4.0540   2466.7    33  13890    1.62       2   7       O
3-2_S(0)    2.5014   3997.73    5  17387    3.88       3   0       S
3-2_S(1)    2.3864   4190.33   21  17818    5.14       3   1       S
3-2_S(2)    2.2870   4372.49    9  18386    5.63       3   2       S
3-2_S(3)    2.2014   4542.57   33  19086    5.63       3   3       S
3-2_S(4)    2.1280   4699.32   13  19912    5.22       3   4       S
3-2_S(5)    2.0656   4841.3    45  20856    4.50       3   5       S
3-2_S(6)    2.0130   4967.7    17  21911    3.57       3   6       S
3-2_S(7)    1.9692   5078.1    57  23069    2.54       3   7       S
3-2_O(2)    2.9620   3376.07    1  16952   14.1        3   2       O
3-2_O(3)    3.1637   3160.81    9  17098    6.86       3   3       O
3-2_O(4)    3.3958   2944.8     5  17387    4.87       3   4       O
3-2_O(5)    3.6630   2730.0    21  17818    3.52       3   5       O
3-2_O(6)    3.9721   2517.6     9  18386    2.53       3   6       O
4-3_S(3)    2.3446   4265.4    21      0       0       4   3       S
4-3_S(4)    2.2668   4411.5     9      0       0       4   4       S
4-3_S(5)    2.201    4543.5    33      0       0       4   5       S
5-4_S(5)    2.3555   4245.4    45      0       0       5   5       S
5-4_S(7)    2.2510   4442.5    57      0       0       5   7       S
2-0_S(0)    1.2383   8075.3     5  12095    1.27       2   0       S
2-0_S(1)    1.1622   8604.2    21  12550    1.90       2   1       S
2-0_S(2)    1.1382   8785.5     9  13150    2.38       2   2       S
2-0_S(3)    1.1175   8948.6    33  13890    2.77       2   3       S
2-0_S(4)    1.0998   9092.4    13  14764    3.07       2   4       S
